datetime,sensor_id,speed
2017-01-01 08:00:00,1,65
2017-01-01 08:05:00,1,60
2017-01-01 08:10:00,1,55
2017-01-01 08:15:00,1,30
2017-01-01 08:20:00,1,18
2017-01-01 08:25:00,1,15
2017-01-01 08:30:00,1,70
2017-01-01 08:35:00,1,72
2017-01-01 08:40:00,1,68
2017-01-01 08:45:00,1,40
2017-01-01 08:50:00,1,25
2017-01-01 08:55:00,1,20
2017-01-01 09:00:00,1,10
2017-01-01 09:05:00,1,65
2017-01-01 09:10:00,1,67

2017-01-01 08:00:00,2,68
2017-01-01 08:05:00,2,64
2017-01-01 08:10:00,2,50
2017-01-01 08:15:00,2,45
2017-01-01 08:20:00,2,22
2017-01-01 08:25:00,2,18
2017-01-01 08:30:00,2,60
2017-01-01 08:35:00,2,65
2017-01-01 08:40:00,2,70
2017-01-01 08:45:00,2,55
2017-01-01 08:50:00,2,35
2017-01-01 08:55:00,2,20
2017-01-01 09:00:00,2,15
2017-01-01 09:05:00,2,62
2017-01-01 09:10:00,2,66

2017-01-01 08:00:00,3,70
2017-01-01 08:05:00,3,68
2017-01-01 08:10:00,3,66
2017-01-01 08:15:00,3,40
2017-01-01 08:20:00,3,25
2017-01-01 08:25:00,3,12
2017-01-01 08:30:00,3,58
2017-01-01 08:35:00,3,62
2017-01-01 08:40:00,3,65
2017-01-01 08:45:00,3,50
2017-01-01 08:50:00,3,35
2017-01-01 08:55:00,3,18
2017-01-01 09:00:00,3,14
2017-01-01 09:05:00,3,60
2017-01-01 09:10:00,3,63
